,http://devopsagainsthumanity.com
Catastrophic Failure,"If _____ is the answer, you are asking the wrong question."
CEOs with root access,"In order to improve security, we're upgrading to _____."
ChatOps,"Instead of coal, Santa now gives the bad children _____."
Cloud 2.0,Is _____ something we need to optimize for?
Cloud-based business strategy,It has been __ days since the last _____.
COBOL,It looks like you're trying to _____. Can I help?
Commenting every line of code,It took over 40 hours to document _____.
Continuous Deployment,"It turns out that the button labeled ""Don't Push"" actually does _____."
Continuous Disintegration,It worked on my _____.
Continuous Incineration,It's easy! Just run _____.
Continuous Integration,It's like trying to herd _____.
cron jobs that edit cron jobs,ITIL best practices suggest _____ is the next step.
Crowdsourced Architecture,Just think of the Internet as _____.
CTRL - C!<br>CTRL - C!<br>CTRL - C!,Main benefits of automation: _____ and _____.
Culture,Management just told me I need to get certified in _____.
Cybernetic enhancements,My Linkedin Endorsements include _____.
Darth Vader,My stacktrace revealed _____.
De-linting source code,Next year I'll start learning _____.
Deploying on a Friday afternoon,No one can authenticate because of ______
DevOps Days,Nobody will value your work if you don't use _____.
DevOps Reactions,"Of course culture is important to us, that's why we have _____."
Disaster Recovery,"Oh, we're devops! We have ______ in the office, but only the DBA can touch it."
Distributed Computing,"On a scale from 1 to 10, this is _____!"
DNS,One does not simply _____.
Docker,Our custom log rotation scripts have the added feature of _____.
Dropping tables on a Friday,Our greatest achievement in the last year is _____.
Elastic Load Balancers,Security through _____.
Emojis as identifiers,Software Defined _____.
Emotions,"Some people, when confronted with a problem, think ""I know, I'll use _____."" Now they have two problems."
Enterprise Grade Bash scripts,Step 1: _____. Step 2: _____. Step 3: Profit.
eventual consistency,The entire system failed because of _____.
Excessively long variable names,The Internet is for cat memes and _____.
"Fail early, fail often",The Internet of Things will be controlled by _____.
Fear itself.,The most stable part of our infrastructure?
Figgy pudding.,The next big thing is _____.
Finger painting.,The NSA is really interested in our latest project: _____.
Five-Dollar Footlongs.,The production datacenter burned down because of _____.
Flightless birds.,The tech support hotline told me to _____
Flux Capacitor,The two pillars of our Continuous Deployment pipeline are _____ and _____.
Force pushing to master,"The vendor solution didn't have log aggregation, but it did have _____."
Free samples,They said we were crazy. They said we couldn’t put _____ inside of _____. They were wrong.
Friday afternoon deployment,Time to schedule the postmortem for _____.
Frolicking,To understand _____ you must first understand _____.
Functional programming,WARN: _____ has been deprecated.
Git,We can discuss _____ at the stand-up meeting.
global write lock,We don't have to worry about CAP Theorem because of _____.
GoGurt,"We don't need backups, we've got _____."
Growth hacking,We missed the launch window due to confusion from _____.
Hackathons,"We strive for continuous deployment, continuous delivery, and continuous _____."
Half open TCP connections,We're running _____ in production?!
Hamachi for VPN,"Welcome to Programming 101, our first topic will be ______."
Heartbleed,What gets better with age?
High Availability,What's my secret power?
Home-grown monitoring solution,What's that sound?
home-rolled systemd replacement,What's the next Happy Meal toy?
Hope,"When I write a book about my experiences, it'll be called ""_____, the good parts"""
Hot Pockets,Who would have known that _____ could destroy an entire datacenter?
HTML5 vs Flash,Whoever made the unscheduled change to production on Friday will be forced to use _____.
HTTP 418: I'm a teapot,Why can't I sleep at night?
HugOps,Why is root running _____ under tmux?
Hypertext Coffee Pot Control Protocol,Will merge pull requests for _____.
hypervisors running<br>hypervisors running<br>hypervisors,Would you like _____ with that?
I heard about it on hacker news,"You can have _____, _____, or _____.  Pick two."
IE6,You should think of your servers like _____ and not like _____.
Internet Explorer,Zero-day _____.
IPv6,
ISO 8601,
It doesn't happen on my machine,
ITIL,
Jenkins,
Kernel panic,
Leaky abstractions,
Leap second mitigation,
Little Bobby Tables,
Loading the servers in the back of a shady Canadian's truck,
Losing the root password,
Lotus123,
Magnets.,
Map-Reduce,
Merge Conflicts,
Microsoft Access over a WAN,
mint-in-box AOL trial CD,
More buzzwords than you can shake a scrum at,
multi-factor authentication,
Mutation of immutable data,
Mutually-assured destruction,
Nagios,
Netscape Navigator,
NoOps,
NoSQL,
NullPointerException: null,
Object Permanence,
OpenSSL,
optimistic transactions,
Packet loss,
Parsing HTML with regex,
Penetration test,
Perl 6,
Pete Cheslock,
Pets vs Cattle,
Pop music,
Post-mortems,
Power Maintenance,
Prancing,
Profit,
Proxy,
Pull Requests accepted!,
Python,
Python datetime module,
Raptor attacks,
Re-implementing TCP over TCP,
Re-writing deployment scripts at 2 AM,
Read-only Fridays,
Rebasing the entire repo,
Rebooting All The Things,
Regular Expressions,
Replacing all dev machines with Raspberry Pis,
Repression,
Rolling Grubhub into the build failed script,
Ruby,
Running Openstack in Production,
Running out of IPv4 addresses,
Sadness as a Service,
Science,
Scope Creep,
Script kiddies,
Scrum Master,
Servers that follow daylight savings time,
Shiny objects,
Significant whitespace,
Silence,
Silos,
Single stepping through the kernel,
Skeletor,
smokeping,
Snowflake server,
Spaces and tabs in the same file,
Sprint Planning,
SQLite,
ssh in a for loop,
Stack trace generator,
sudo,
Sunshine and rainbows.,
Swooping,
Syntactic sugar coma,
Syntax error,
Sysadmins,
Teaching a robot to love,
Tech Debt Day,
Temporary hotfixes,
Testing in production,
That moment when you realize CTRL-Z cannot save you,
the Berkshelf way,
The Care Bear Stare,
The Cloud,
The Force,
The gentle sound of weeping drifting from the server room,
The last remaining Multics server on Earth,
The light of a billion suns,
the Mythical Man-Month,
The next Y2K,
The NSA,
The Travelling Salesman Problem,
The true meaning of Christmas,
The waterfall model,
The World of Warcraft,
Thought leadership,
traceroute,
tribal knowledge,
Turning it off and on again,
Unicode errors,
Unix philosophy,
Unknown source in your stack trace,
Unlimited data plan,
Unplugging a server and waiting to see who complains,
Vigorous jazz hands,
VisualBasic DLLs,
Windows for Workgroups,
Windows ME,
Works on my machine!,
Write-only code,
YAML,
Yet another package manager,
YoloDB,
Your code featured on The Daily WTF.,
ZeroMQ over SSH,
Zombie processes,
